0,0,0,0,0,0,0,0
-2.32,2.35,2.36,2.36,-1.11,-2.82,-4.12,-4.6
-3.75,2.66,2.66,2.66,-1.46,-5.65,-9.46,-16.2
-4.25,1.42,1.43,1.43,-2,-9.16,-15.1,-21.9
-3.86,.53,.66,.66,-2.46,-12.1,-19.6,-25.4
-3.35,-.35,.76,.76,-3.28,-15.3,-22.3,-27.5
-3.67,-.91,1.36,1.36,-4.5,-19.1,-24.7,-29.4
-5.1,-1.08,2.17,2.17,-6.96,-21.9,-26.6,-30.9
-5.75,-.91,2.31,.96,-10.3,-24.2,-28.7,-32.3
-6,-.12,2.16,-.78,-14.1,-26,-30.1,-33.5
-6.36,.64,1.67,-2.71,-14.3,-27.9,-31.7,-34.8
-5.89,1.72,.71,-4.36,-16,-29.2,-32.8,-35.8
-4.32,2.28,.1,-5.93,-18.3,-30,-34.2,-36.9
-3.07,2.37,-.11,-7.46,-20.2,-32,-35.4,-38.1
-2.25,2.14,-.63,-10,-22.8,-33.7,-36.9,-39.4
-1.78,1.71,-1.18,-12.2,-25,-35.4,-38.4,-41
-1.28,.9,-3.53,-14.4,-26.9,-36.6,-40.1,-42.6
-1.07,.14,-5.5,-16.8,-29.1,-37.7,-41.4,-43.7
-1.21,.22,-7.48,-19.4,-30,-38.6,-42.6,-45.8
-1.53,0,-9.28,-20.6,-31,-39.4,-43.8,-46.9
-1.67,0,-10.7,-21.9,-31.6,-40.3,-44.7,-47.8
-1.28,.07,-12.3,-22.2,-32.2,-40.8,-45.2,-48
-1.07,.3,-13.8,-23.1,-32.4,-41.1,-45,-47.7
-1.1,.32,-15.4,-23.8,-32.9,-41.2,-44.7,-47
-1.35,.17,-16.5,-24.1,-33.1,-41.1,-44.7,-46.8
-1.46,.05,-17.4,-24.4,-33.2,-41.2,-44.5,-46.9
-1.57,0,-18.2,-24.8,-33.5,-41.1,-44.5,-46.9
-2.1,-.25,-19.1,-25.5,-33.9,-41.2,-44.8,-47
-3.35,-.7,-20,-26.2,-34.3,-41.6,-45.3,-47.4
-3.35,-1.2,-21.1,-26.8,-34.8,-42,-45.9,-47.8
-3.21,-1.5,-22.1,-27.3,-35.4,-42.9,-46.6,-48.5
-2.78,-2.02,-23.2,-28.1,-36.3,-44,-47.7,-49.5
-2.57,-2.78,-24.4,-29.4,-37.6,-44.7,-48.7,-50.6
-2.35,-3.59,-25.5,-30.4,-39,-45.9,-49.7,-51.6
-2.46,-4.5,-26.6,-31.1,-40.1,-46.9,-50.4,-52.6
-2.82,-5.23,-27.5,-32,-41.4,-47.8,-51.3,-53.5
-3.21,-6.28,-28.1,-32.3,-41.8,-48.3,-52,-54.2
-3.46,-7.37,-28.7,-32.8,-42,-48.7,-52.2,-54.6
-3.37,-8.61,-29,-33,-42.4,-48.7,-52.6,-55
-3.46,-9.75,-29.2,-33.2,-41.7,-48.4,-52.5,-55.7
-3.72,-11,-29.5,-32.9,-41.2,-48.1,-52.5,-54.7
-3.89,-12.1,-29.3,-33,-41.2,-48,-52.2,-54.2
-3.64,-12.9,-29.4,-33,-41.2,-48.1,-52.2,-53.9
-3.6,-14.4,-29.6,-33.1,-41.3,-48.2,-52,-53.9
-3.78,-15.8,-30.1,-33.4,-41.6,-48.4,-52.2,-53.8
-4,-16.9,-30.7,-33.8,-42.2,-48.9,-52.1,-54.1
-4.14,-18.1,-31.2,-34.3,-42.6,-49.3,-52.4,-54.4
-4.25,-19.3,-31.9,-35,-43.2,-49.9,-52.9,-55.3
-4.42,-20.4,-32.5,-35.7,-43.8,-52,-53.9,-55.7
-4.89,-21.6,-33.2,-36.4,-44.4,-50.6,-55,-56.8
-4.46,-22.8,-33,-37.7,-45.6,-51.2,-56.4,-58.1
-4.71,-24.3,-33.5,-37,-46.1,-51.9,-56.5,-57.9
-5.14,-25.8,-33.9,-37.5,-46.3,-53,-56.9,-58.1
-6.89,-27.1,-34.8,-38.2,-46.7,-53.9,-58.1,-59.1
-9.48,-28.5,-35.6,-38.9,-47.3,-54.9,-58.9,-60.4
-13.3,-29.9,-36.6,-39.7,-48.3,-55.9,-59.7,-61.2
-17.5,-30.8,-37.4,-40.5,-49.2,-56.9,-60.5,-61.9
-21.9,-31.8,-38.3,-41.3,-50.2,-57.9,-61.3,-62.7
-24.9,-32.7,-39.2,-42.1,-51.1,-58.9,-62.1,-63.5
-27.3,-33.7,-40.1,-42.9,-52.1,-59.9,-62.9,-64.3
-29.1,-34.7,-40.9,-43.9,-53,-60.8,-63.8,-65.1
-30.8,-35.7,-41.8,-44.6,-53.9,-61.8,-64.5,-65.8
